,train_loss,train_acc,val_loss,val_acc
0,1.1591559648513794,0.5242011278195489,1.1911730766296387,0.4549278846153846
1,1.111067192895072,0.6574248120300752,1.151242882013321,0.6027644230769231
2,1.0339987192835127,0.7617481203007518,1.1296538710594177,0.6075721153846154
3,0.9625014322144645,0.7781954887218046,1.067660927772522,0.7626201923076923
4,0.8347042798995972,0.8317669172932332,0.9944547265768051,0.7932692307692308
5,0.6996070529733386,0.8748825187969924,0.9552699774503708,0.7980769230769231
6,0.5661131548030036,0.8928571428571429,0.8493374139070511,0.8209134615384616
7,0.4416051762444632,0.9322133458646616,0.8184692859649658,0.7746394230769231
8,0.3517098128795624,0.9352678571428571,0.7588471621274948,0.8016826923076923
9,0.2743456853287561,0.9553571428571429,0.7225909233093262,0.7782451923076923
10,0.2508711186902864,0.956062030075188,0.5995705053210258,0.8557692307692308
11,0.19763148522802762,0.9665178571428571,0.5349189415574074,0.8635817307692308
12,0.1720255038567952,0.9665178571428571,0.5914576649665833,0.8365384615384616
13,0.10657639029834952,0.9933035714285714,0.521716371178627,0.8401442307692308
14,0.08842327791665282,0.987312030075188,0.6109537780284882,0.7938701923076923
15,0.0908127703836986,0.984375,0.5716099590063095,0.8094951923076923
16,0.11270990914532117,0.9754464285714286,0.5410229116678238,0.8449519230769231
17,0.0895383061308946,0.9866071428571429,0.4247729182243347,0.8834134615384616
18,0.0849714268531118,0.984375,0.3474601209163666,0.9182692307692308
19,0.07244039686130625,0.984375,0.37059757485985756,0.9068509615384616
